VIN,GRADE,STOCKNUMBER,MAKE,MODEL,SERIES,YEAR,PRICE,BODY,CYLINDERS,DISPLACEMENT,EXTERIOR,INTERIOR,MILEAGE,TRANSMISSION,UPHOLSTERY,ENDDATE,ABGLOCATION,BUYDATE,BUYERNAME,WATCHEDBY,DEALERSHIPNAME,DRIVE TRAIN,CONDITION REPORT,SALES REP
2T1BURHEXKC234379,3.5,,Toyota,Corolla,Le,2019,12800,Sedan,4,1.8l,Black,Tan,28506,Continuously Variable Trans,Cloth,2020-02-24T19:30:00.000Z,Providence- RI,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToE5NomIOMfwqZVPBd3OcN%2f%2fkuTJcovTrgZ7Be0449sJwk44unC0U5nZ74UQYjBRDZWXFQu2VIGWqVZQRto%2bRhsn%2bhNfdjomLMFs%2fmTPn4ZdYQ%3d%3d,
3C4PDDEG7JT464388,3.8,,Dodge,Journey,Gt,2018,15600,Suv,6,3.6l,White,Black,40116,6-speed A/t,Leather,2020-02-24T19:30:00.000Z,Providence- RI,,,,,AWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToHiWd%2fkCy1WNMR67Cbeb0%2bFyMU68d%2fYHYYdzSJDdvGUQ9lxaysKyK%2fKWwNFoAXl5QBkCl1JfnkxkQbKRHJ%2feY5FmpszZhsS0C%2bdhUsm0Qt4vw%3d%3d,
2GNAXUEV3K6189160,4.5,,Chevrolet,Equinox,Lt,2019,16700,Suv,4,1.5l,White,Grey,39188,6-speed A/t,Cloth,2020-02-24T19:30:00.000Z,Columbus- OH,,,,,AWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToE%2bYcyk00CSTOFQCCjdPibn3yVN8bIlzE87WO0BxAwy12v2uos1ePYobOE9WZ0S4%2bcKks2YL2h4HXr36VYvZCWbYCaX7rAkFnlD%2b%2bRhxiKL1g%3d%3d,
2C4RDGEG8JR214672,4.5,,Dodge,Grand Caravan,Gt,2018,15500,Minivan,6,3.6l,Silver,Black,41397,6-speed A/t,Leatherette,2020-02-28T19:30:00.000Z,Reno- NV,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGKEHV8yZMjVwOuBMXMXC7NCZiQCoNRCYOELXHz7kjOHD2LwaA4ZChf8%2bb0sZdTYRRObSgIGJywTC0LBaga%2bIIex6DatVzmn4QGo5XWlnWbEQ%3d%3d,
KNMAT2MT1KP526482,4.6,,Nissan,Rogue,Sv,2019,16000,Suv,4,2.5l,Silver,Black,31550,6-speed A/t,Cloth,2020-02-24T19:30:00.000Z,Boston- MA,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToH1IR%2ftVFeGF0ppXQAjCT%2fSQq6f3BIwjE57ts%2bLUaMm4bq1w54qHw4O27nj8PJ2q0XBQ0Hb%2bT9%2fTOLTcLql5FNr2ixfxsM3fVxdL0PJC8DT2A%3d%3d,
5TDZZRFH3KS303644,4.5,,Toyota,Highlander,Le,2019,22300,Suv,6,3.5l,Silver,Grey,44385,8-speed A/t,Cloth,2020-02-24T19:30:00.000Z,Providence- RI,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToETIQIIhVRqb0k%2fk3M%2bmsEMZKI%2byUA1wM6S5DSHJdHLoxtr%2bDLwz82cGOzta%2bp5aC6eC1ezS%2boNUM%2bC2%2fUGwrAfB5zwP6W1hDRwXzr1N1IKTg%3d%3d,
JTDKARFU0K3071737,4.5,,Toyota,Prius,Series 2,2019,19900,Wagon / Hatchback,4,1.8l,Black,Black,33842,A/t,Cloth,2020-02-28T19:30:00.000Z,Houston Hobby- TX,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToHrBKMjl1rOvDPEIZ5izsH2tLkaIuJFzWu%2fy2j1Ms1gQ%2fOZX4yfXNMqIDeChdBymzdTyywY3nrVqsrNwNS6j7V7FQ%2fwxXnReU39ktfPdlz4ww%3d%3d,
1N6AD0ER7KN728059,4.5,,Nissan,Frontier,Sv,2019,18200,Pickup,6,4.0l,White,Grey,30929,A/t,Cloth,2020-02-25T19:30:00.000Z,Houston Intercontinental- TX,,,,,RWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEPz3oaUZUHEymd8toF4bAPJ4%2bgoRdrPt9ZH4C8a3UyfExj9C8aAvBpLR8urViEHPbvezD2LZyQS4bBiLiFgkarpJ2sbExMKK6gUwmcFMoXVA%3d%3d,
2C4RDGCG4KR630352,4.2,,Dodge,Grand Caravan,Sxt,2019,16500,Minivan,6,3.6l,Red,Black,33582,6-speed A/t,Cloth&leather,2020-02-27T19:30:00.000Z,San Antonio- TX,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToHPO3H7QbXOalc3D6OZD9dsMgeWdSfgAX4KH%2bezwwojtzG%2fk0Z9qdthEaz1Pr2fJZgow2EA409jptHvAznR0D4KQUtiu5UWPseVJkedu0vvMQ%3d%3d,
3C4PDCGG6JT216043,3.9,,Dodge,Journey,Crossroad,2018,14100,Suv,6,3.6l,Grey,Black,49980,A/t,Cloth&leather,2020-02-24T19:30:00.000Z,Jacksonville- FL,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGL2wMmFlnKO3e9YOZWQQ%2fQkpWu9STvnSRIZ1hr2jCR9eOEHo1yTr5anSIsqRk648rcvtqqXfAA%2fl9T1o3i0i1jilQ%2b3Mmor8MbGt3p72Rtmg%3d%3d,
2C3CCAEG6KH534235,3.5,,Chrysler,300,Limited,2019,19600,Sedan,6,3.6l,Red,Black,30380,8-speed A/t,Leather,2020-02-24T19:30:00.000Z,Jacksonville- FL,,,,,RWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToElP9p3NllqyeHovS%2fS7mc2dvA1BAvZVxi4GYBOyWV0786rB%2fBtAKPLBioytrgF5T32yh%2fUPNX%2f4XWW21P2yNOqSnXIBAMCGYoaPihzBuhiYQ%3d%3d,
1C4RDHDG8KC647376,3.6,,Dodge,Durango,Gt,2019,23700,Suv,6,3.6l,White,Black,45654,8-speed A/t,Cloth&leather,2020-02-24T19:30:00.000Z,Detroit- MI,,,,,RWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFIW5F5lCSsEPVA1s1QeU5ces7POMOq3jDZ7%2bjWt0kFTegzMTeT0hTdD7U8B6AoyY8YFt9XmiEe8fHimS3Qgy0kwkpM361362RducIxV1SqhQ%3d%3d,
KNDCB3LC7K5246659,4.2,,Kia,Niro,Lx,2019,16100,Wagon / Hatchback,4,1.6l,White,Black,25492,6-speed A/t,Cloth,2020-02-24T19:30:00.000Z,Pittsburgh- PA,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGo3wCpmfg5f%2fzTxvtfwS70PbkEGND0sEwwacYVwIc%2bwli4wyr0lou8l3dVnSsCHosFW1oom68QXHqc9S0Acti%2f9Kp63VRuSKGe4hjUWD3iiQ%3d%3d,
3KPC24A34KE060381,4.3,,Hyundai,Accent,Se,2019,10900,Sedan,4,1.6l,Blue,Black,38469,A/t,Cloth,2020-02-24T19:30:00.000Z,Atlanta- GA,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToHBaxlpGEr4TwmyNgkgZCEiIiBpTlc9PFPAb4sW5%2blJuiJD3Ta5auJrzH2ZecJ5UK9cAXgngiRUlBdcQU74sNZtSyLXW6%2fZbnvCbBc3u%2fYQNQ%3d%3d,
1FMCU0G97KUB34209,4.6,,Ford,Escape,Se,2019,15500,Suv,4,2.0l,Red,Grey,37555,6-speed A/t,Cloth,2020-02-24T19:30:00.000Z,Columbus- OH,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGpoBc%2flGt%2fG6HuIcLg2SXlcvP5%2fwY%2bRS9OdvEP6eFq52Tf7Xo8WBu4pWEdbAhvC1iea63ABjA91CDmVz8%2bLlsu3ZaMwcP5RDFj%2fnFAfX152A%3d%3d,
3VWC57BU8KM140057,4.5,,Volkswagen,Jetta,S,2019,12300,Sedan,4,1.4l,Black,Black,39037,8-speed A/t,Cloth,2020-02-24T19:30:00.000Z,Minneapolis- MN,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFOzl3ifbWUpeEPdRfnGkEasG2dmkpLwt8DEdaVoKHa2mEIyfKIVSPbSfWQNvGdJ7Rlfzd9Q5ejndu70%2fYIeA9yJAsG%2faUhilA4MtVSVfyXcA%3d%3d,
3KPC24A38KE075692,4.5,,Hyundai,Accent,Se,2019,11500,Sedan,4,1.6l,Blue,Black,31471,A/t,Cloth,2020-02-27T19:30:00.000Z,San Antonio- TX,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFqHB5B7vHn%2fjncsKFFB46V8Vv8nhlLQ9XUczEQX2hAVcRhTis3ZA0eRgVm9Ci7fKBpkDkhjkzqIPNn0heoRwb2LK6fXtFFwSqZM8HZdGPcPA%3d%3d,
JM3KFACM1K1560271,4.6,,Mazda,Cx-5,Touring,2019,18700,Suv,4,2.5l,Red,Red,39317,6-speed A/t,Leather,2020-02-27T19:30:00.000Z,New Orleans- LA,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToE2UwS2HytvUPkj1CNxGVKcmP4ANg7jpuQT4ZqOSpDNJw2o7%2fdoOU00mtOkjn3paKtCHgtL3Uvm5IX2KiI3kAcDIxkj7eIDSq5g6lkaFml00A%3d%3d,
5N1DR2MN9KC605835,3.6,,Nissan,Pathfinder,Sl,2019,21100,Suv,6,3.5l,Silver,Black,36658,A/t,Leather,2020-02-27T19:30:00.000Z,San Antonio- TX,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToHfZYY%2foVhaKNrvaBZWLwxBw2%2fm%2bZPK0z2S6KddsBEB%2fpKcsXsie2jCDVuG1dpZ4UQ8LklpSbVZzOnAy%2bArI20hPPbX92EqDt5%2b7kSPaPqAEA%3d%3d,
5XXGT4L36KG296307,4.5,,Kia,Optima,Lx,2019,14000,Sedan,4,2.4l,Grey,Black,33697,6-speed A/t,Cloth,2020-02-27T19:30:00.000Z,Portland- OR,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToE4xf9QbyFE0sXgbAVn6zdQyBIcBOGUriUlAJbi50ZCNWBgjikD5raIX1GCoIm3jUGfuPuG7msY7jdoZAm6TWgHFOkwKht8Ru8B7HsI5bGdtQ%3d%3d,
5XXGT4L34KG332611,3.6,,Kia,Optima,Lx,2019,13700,Sedan,4,2.4l,White,Black,34670,6-speed A/t,Cloth,2020-02-27T19:30:00.000Z,Portland- OR,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFxM5d%2f7jCP3ksolIo4yc5JfQzw4zeT4ZN1sY4DMoju7UhtaZ11dgt030mQHKDDT4TMS2E1KOXLnHbFX9w82YLKGLIFKfGlTIkec7CtAf6hJQ%3d%3d,
2C4RDGEG4KR631420,4.4,,Dodge,Grand Caravan,Gt,2019,17400,Minivan,6,3.6l,Silver,Black,35944,6-speed A/t,Leather,2020-02-28T19:30:00.000Z,Chicago Ohare- IL,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEFmNxgordZLetBRyZU%2bfZx0ozmbHoEhmXu2O%2f4YSUyNOeBa5snNeUkgAf35C8uQlwEE12WpiEojovoZSK7U%2bvnTQA9%2fkxIx3qrt0775D71Cw%3d%3d,
3VWC57BU0KM139999,4.4,,Volkswagen,Jetta,S,2019,12800,Sedan,4,1.4l,Black,Black,32457,8-speed A/t,Cloth,2020-02-28T19:30:00.000Z,Chicago Ohare- IL,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToH0H1p3zcB3d9hs9O1wziGEmVKnN2ifkIkFvFi4kfOcQ42%2fayYLFrtn%2bLhSxI1V7JzVRtETtyxEIlrRAfMBIU6PeVdZNoBMq2K5BD3v1XVrYQ%3d%3d,
